Risk_Category,Risk_Level,Trigger_Phrase,Example_Clause,Clause_Group,Term_Type,Risk_Explanation
Auto-Renewal,Risky,automatically renew,This Agreement shall automatically renew for successive one-year periods unless written notice is provided ninety days prior to expiration.,MRO Specific,,
Auto-Renewal,Risky,automatically renew,The contract will renew automatically unless cancelled in writing at least 120 days before the end of the term.,MRO Specific,,
Auto-Renewal,Risky,evergreen,This is an evergreen agreement that continues indefinitely until terminated by either party with 180 days written notice.,MRO Specific,,
Auto-Renewal,Acceptable,written notice,Either party may elect not to renew this Agreement by providing written notice 30 days prior to expiration.,MRO Specific,,
Auto-Renewal,Acceptable,written notice,This Agreement may be renewed for one additional term upon mutual written agreement sixty days prior to expiration.,MRO Specific,,
Auto-Renewal,Preferred,mutual written agreement,This Agreement shall renew only upon mutual written agreement of both parties prior to the expiration date.,MRO Specific,,
Liability Cap,Risky,shall not exceed,The aggregate liability of Supplier shall not exceed the fees paid in the prior three months.,MRO Specific,,
Liability Cap,Risky,shall not exceed,In no event shall Supplier liability exceed one month of average fees under this Agreement.,MRO Specific,,
Liability Cap,Risky,limitation of liability,The total limitation of liability for either party shall be capped at fifty thousand dollars regardless of claim type.,MRO Specific,,
Liability Cap,Acceptable,shall not exceed,Supplier liability shall not exceed the total fees paid in the prior twelve months under this Agreement.,MRO Specific,,
Liability Cap,Acceptable,shall not exceed,Aggregate liability shall not exceed two times the annual contract value for direct damages only.,MRO Specific,,
Liability Cap,Preferred,unlimited liability,"No limitation of liability shall apply in cases of gross negligence, willful misconduct, or breach of confidentiality obligations.",MRO Specific,,
Indemnification,Risky,sole discretion,Supplier shall defend claims at its sole discretion and shall have no obligation to indemnify Customer for third party claims.,MRO Specific,,
Indemnification,Risky,indemnify and hold harmless,Customer shall indemnify and hold harmless Supplier against any and all claims arising from Customer use of services.,MRO Specific,,
Indemnification,Risky,defend against,Customer shall defend against and bear all costs of any regulatory claims related to services provided.,MRO Specific,,
Indemnification,Acceptable,indemnify,Each party shall indemnify the other for claims arising from its own negligence or willful misconduct.,MRO Specific,,
Indemnification,Acceptable,mutual indemnification,Both parties shall maintain adequate insurance and provide mutual indemnification for claims arising from their respective acts or omissions.,MRO Specific,,
Indemnification,Preferred,mutual indemnification,"Supplier shall indemnify Customer for all claims arising from Supplier negligence, errors, or failure to meet agreed specifications.",MRO Specific,,
Payment Terms,Risky,net 30,All invoices are due and payable net 30 days from invoice date.,MRO Specific,,
Payment Terms,Risky,due upon receipt,Payment is due upon receipt of invoice with no exceptions.,MRO Specific,,
Payment Terms,Risky,late payment penalty,Late payments shall accrue interest at 1.5% per month compounded monthly from the due date.,MRO Specific,,
Payment Terms,Acceptable,net 60,Invoices shall be payable within sixty days of receipt by Customer accounts payable department.,MRO Specific,,
Payment Terms,Acceptable,net 75,All undisputed invoices shall be payable within seventy-five days of Customer receipt.,MRO Specific,,
Payment Terms,Preferred,net 90,All undisputed invoices shall be payable within ninety days of Customer receipt in accordance with Customer standard payment terms.,MRO Specific,,
Price Escalation,Risky,no cap on increases,Supplier reserves the right to adjust pricing annually with no cap on increases based on market conditions.,MRO Specific,,
Price Escalation,Risky,Consumer Price Index,Pricing shall adjust annually based on the Consumer Price Index without limitation.,MRO Specific,,
Price Escalation,Risky,price adjustment,Supplier may implement a price adjustment at any time with thirty days written notice.,MRO Specific,,
Price Escalation,Acceptable,not to exceed,Annual price adjustments shall not exceed three percent per year based on documented CPI changes.,MRO Specific,,
Price Escalation,Acceptable,not to exceed,Pricing increases are limited to a maximum of two and a half percent annually with ninety days advance written notice.,MRO Specific,,
Price Escalation,Preferred,fixed pricing,Pricing shall remain fixed for the initial two-year term with any increases capped at two percent annually thereafter subject to mutual written agreement.,MRO Specific,,
Termination Rights,Risky,termination fee,Early termination by Customer shall incur a termination fee equal to six months of average monthly fees.,MRO Specific,,
Termination Rights,Risky,one hundred and eighty days,Either party may terminate with one hundred eighty days written notice with no termination for cause provision.,MRO Specific,,
Termination Rights,Risky,no termination for convenience,Customer may not terminate this Agreement for convenience during the initial term under any circumstances.,MRO Specific,,
Termination Rights,Acceptable,termination for convenience,Either party may terminate this Agreement for convenience upon sixty days written notice without penalty.,MRO Specific,,
Termination Rights,Acceptable,termination for convenience,Customer may terminate for convenience with ninety days written notice with no early termination penalties after year one.,MRO Specific,,
Termination Rights,Preferred,immediate termination,"Customer may terminate this Agreement immediately for cause including failure to meet SLAs, regulatory non-compliance, or insolvency of Supplier.",MRO Specific,,
Force Majeure,Risky,beyond their reasonable control,Neither party shall be liable for delays caused by circumstances beyond their reasonable control including supply chain disruptions.,MRO Specific,,
Force Majeure,Risky,acts of God,"Force majeure events including acts of God, pandemics, labor disputes, and government actions shall excuse performance indefinitely.",MRO Specific,,
Force Majeure,Risky,supply chain disruptions,Supplier shall not be liable for any supply chain disruptions regardless of duration or impact on Customer operations.,MRO Specific,,
Force Majeure,Acceptable,reasonable efforts,In a force majeure event Supplier shall use reasonable efforts to resume performance within thirty days and notify Customer within 48 hours.,MRO Specific,,
Force Majeure,Acceptable,thirty days,Force majeure events exceeding thirty days shall trigger a joint review to identify alternative solutions at no additional cost to Customer.,MRO Specific,,
Force Majeure,Preferred,right to terminate,Force majeure events exceeding thirty days shall give Customer the right to terminate without penalty and immediately engage alternative suppliers.,MRO Specific,,
Intellectual Property,Risky,intellectual property,All intellectual property developed under this Agreement shall remain the exclusive property of Supplier.,MRO Specific,,
Intellectual Property,Risky,work for hire,Work product shall not be considered work for hire and all rights remain with Supplier regardless of Customer funding.,MRO Specific,,
Intellectual Property,Risky,ownership,Ownership of all process improvements and innovations developed during service delivery shall vest in Supplier.,MRO Specific,,
Intellectual Property,Acceptable,license,Supplier grants Customer a non-exclusive license to use any work product developed specifically for Customer under this Agreement.,MRO Specific,,
Intellectual Property,Acceptable,joint ownership,Jointly developed innovations shall be owned equally by both parties with neither party requiring consent for use.,MRO Specific,,
Intellectual Property,Preferred,Customer ownership,"All custom work product, process improvements, and innovations funded by Customer shall be owned exclusively by Customer upon payment.",MRO Specific,,
Exclusivity,Risky,exclusive supplier,Customer agrees that Supplier shall be the exclusive supplier of services for all Customer facilities during the term.,MRO Specific,,
Exclusivity,Risky,sole source,Customer designates Supplier as sole source provider and agrees not to engage alternative suppliers.,MRO Specific,,
Exclusivity,Risky,exclusivity period,During the exclusivity period Customer shall direct one hundred percent of volume to Supplier.,MRO Specific,,
Exclusivity,Acceptable,preferred supplier,Supplier shall be designated as preferred supplier with Customer retaining the right to dual-source for business continuity purposes.,MRO Specific,,
Exclusivity,Acceptable,minimum volume,Customer commits to a minimum annual volume with no exclusivity obligation and full rights to engage additional suppliers.,MRO Specific,,
Exclusivity,Preferred,no exclusivity,Nothing in this Agreement shall restrict Customer from engaging additional suppliers at its sole discretion at any time.,MRO Specific,,
Governing Law,Risky,binding arbitration,All disputes shall be resolved through binding arbitration and Customer expressly waives the right to jury trial.,MRO Specific,,
Governing Law,Risky,governed by laws of,This Agreement shall be governed by the laws of the State of Ohio with exclusive jurisdiction in Franklin County courts.,MRO Specific,,
Governing Law,Risky,venue,The exclusive venue for all disputes shall be the courts of Supplier home state jurisdiction.,MRO Specific,,
Governing Law,Acceptable,jurisdiction,Disputes shall be resolved in the jurisdiction where the Customer facility involved in the dispute is located.,MRO Specific,,
Governing Law,Acceptable,mediation,Parties agree to attempt mediation prior to initiating formal legal proceedings in any dispute.,MRO Specific,,
Governing Law,Preferred,mutual agreement,Governing law and dispute resolution venue shall be mutually agreed upon with neither party having home jurisdiction advantage.,MRO Specific,,
Delivery & Lead Time,Risky,best efforts,Supplier shall use best efforts to deliver orders within the requested timeframe but makes no guarantee of delivery dates.,MRO Specific,,
Delivery & Lead Time,Risky,subject to availability,All orders are fulfilled subject to availability and Supplier assumes no liability for stock shortages or extended lead times.,MRO Specific,,
Delivery & Lead Time,Risky,lead time,Lead times are estimates only and Supplier shall not be liable for delays regardless of impact on Customer production schedules.,MRO Specific,,
Delivery & Lead Time,Acceptable,delivery commitment,Supplier commits to standard lead times of five business days for stocked items with advance notification of any delays.,MRO Specific,,
